,cap.english,cap.universal,categories.content,categories.friend,categories.network,categories.sentiment,categories.temporal,categories.user,display_scores.content,display_scores.english,display_scores.friend,display_scores.network,display_scores.sentiment,display_scores.temporal,display_scores.universal,display_scores.user,scores.english,scores.universal,user.id_str,list2,bot
1,0.002080127,0.00430424,0.188451281,0.106126161,0.079046475,0.194309275,0.105016524,0.386453791,0.9,0.3,0.5,0.4,1,0.5,0.5,1.9,0.057807183,0.095902762,717064634939912000,Random,FALSE
2,0.001725458,0.00272963,0.349176123,0.126741841,0.136088798,0.103889657,0.105016524,0.08359274,1.7,0.2,0.6,0.7,0.5,0.5,0.3,0.4,0.045343501,0.060780114,209272267,Random,FALSE
3,0.002412482,0.008048111,0.062020197,0.23261518,0.083581381,0.056219498,0.088777716,0.126666309,0.3,0.3,1.2,0.4,0.3,0.4,0.7,0.6,0.06783457,0.148120708,2883353289,Random,FALSE
4,0.110463768,0.269683227,0.097285153,0.270370074,0.088351497,0.379894796,0.161544007,0.813060067,0.5,2.6,1.4,0.4,1.9,0.8,3.5,4.1,0.527496824,0.690801916,1041065803322470000,Random,FALSE
5,0.001309081,0.002100996,0.075375337,0.168637131,0.129106336,0.103889657,0.056011644,0.029986279,0.4,0.1,0.8,0.6,0.5,0.3,0.2,0.1,0.027677698,0.04110674,25936840,Random,FALSE
6,0.002234495,0.003353677,0.075375337,0.073600737,0.074737554,0.067807834,0.20802936,0.072487975,0.4,0.3,0.4,0.4,0.3,1,0.4,0.4,0.062633878,0.076513107,862310522003353000,Random,FALSE
7,0.018904417,0.006431293,0.604473547,0.341192636,0.269321703,0.726110191,0.475747179,0.1994511,3,1.3,1.7,1.3,3.6,2.4,0.6,1,0.252653217,0.128515834,4312576996,Random,FALSE
8,0.028225552,0.009037049,0.333488397,0.452811516,0.1160555,0.291206365,0.130705413,0.144775381,1.7,1.5,2.3,0.6,1.5,0.7,0.8,0.7,0.303957332,0.158817464,967956831032164000,Random,FALSE
9,0.386842593,0.199882599,0.713541769,0.55290049,0.374655042,0.897852531,0.932791332,0.667547437,3.6,3.7,2.8,1.9,4.5,4.7,3.2,3.3,0.740529101,0.63570684,1595883259,Random,FALSE
10,0.024702039,0.104603479,0.091326306,0.707220047,0.093366114,0.09212893,0.088777716,0.08359274,0.5,1.4,3.5,0.5,0.5,0.4,2.6,0.4,0.286212062,0.515643331,1034512988986890000,Random,FALSE
11,0.004775576,0.014565852,0.93005489,0.150687141,0.319693175,0.897852531,0.460314811,0.126666309,4.7,0.6,0.8,1.6,4.5,2.3,1,0.6,0.116795374,0.207905573,762316884394008000,Random,FALSE
12,0.004775576,0.007183846,0.124704686,0.209571931,0.143386718,0.09212893,0.099331419,0.225281737,0.6,0.6,1,0.7,0.5,0.5,0.7,1.1,0.116795374,0.13802619,807628480712060000,Random,FALSE
13,0.228512174,0.083851147,0.802367303,0.56938667,0.194173786,0.477401077,0.696932021,0.87366504,4,3.3,2.8,1,2.4,3.5,2.4,4.4,0.650690103,0.474488541,2281050829,Random,FALSE
14,0.001261693,0.002571044,0.034080667,0.112647015,0.109970068,0.036028306,0.099331419,0.027817973,0.2,0.1,0.6,0.5,0.2,0.5,0.3,0.1,0.025471598,0.056244912,121425565,Random,FALSE
15,0.001554351,0.002198441,0.11728456,0.099940269,0.1160555,0.147392934,0.137911216,0.700922407,0.6,0.2,0.5,0.6,0.7,0.7,0.2,3.5,0.038503445,0.044478832,223962345,Random,FALSE
16,0.007724055,0.05430461,0.178009523,0.783067857,0.493368203,0.116958291,0.429705913,0.595789473,0.9,0.8,3.9,2.5,0.6,2.1,2,3,0.156855103,0.39374646,3901593729,Random,FALSE
17,0.125145748,0.03867703,0.794885818,0.663976004,0.583655528,0.929111844,0.955395663,0.404932889,4,2.7,3.3,2.9,4.6,4.8,1.7,2,0.548702008,0.336555195,940023725398704000,Random,FALSE
18,0.001828421,0.003626193,0.11728456,0.220878321,0.143386718,0.427948527,0.093921781,0.029986279,0.6,0.2,1.1,0.7,2.1,0.5,0.4,0.1,0.049183848,0.082539663,3164614753,Random,FALSE
